state,date,monthly_emissions,co2_per_capita,prcp,snow,tavg,monthly_gdp_rel_2017,gdp_per_capita,monthly_energy_prod,eprod_per_capita,monthly_energy_use,eflow_per_capita,monthly_energy_flow,euse_per_capita,monthly_num_plants,monthly_renew_pct,monthly_fossil_pct,republican_vote_pct,monthly_pop_density,avg_facility_age
AL,1992-11-01,4423669.19671336,,,,,,,,,,,,,,,,,,
AL,1992-12-01,4688561.573052778,,,,,,,,,,,,,,,,8.27,,
AL,1993-01-01,5307908.067392215,,,,,,,,,,,,,,,,,,
AL,1993-02-01,4606228.956437099,,,,,,,,,,,,,,,,,,
AL,1993-03-01,4708383.306888938,,,,,,,,,,,,,,,,,,
AL,1993-04-01,4324884.199229246,,,,,,,,,,,,,,,,,,
AL,1993-05-01,5219923.057711082,,,,,,,,,,,,,,,,,,
AL,1993-06-01,5951337.079090606,,,,,,,,,,,,,,,,,,
AL,1993-07-01,6596599.532957834,,,,,,,,,,,,,,,,,,
AL,1993-08-01,6516540.539526107,,,,,,,,,,,,,,,,,,
AL,1993-09-01,5629028.848692526,,,,,,,,,,,,,,,,,,
AL,1993-10-01,5128014.71971577,,,,,,,,,,,,,,,,,,
AL,1993-11-01,4862305.728304001,,,,,,,,,,,,,,,,,,
AL,1993-12-01,5153463.964054571,,,,,,,,,,,,,,,,,,
AL,1994-01-01,4969766.887459125,,,,,,,,,,,,,,,,,,
AL,1994-02-01,4312788.362780239,,,,,,,,,,,,,,,,,,
AL,1994-03-01,4408434.953082786,,,,,,,,,,,,,,,,,,
AL,1994-04-01,4049366.720849135,,,,,,,,,,,,,,,,,,
AL,1994-05-01,4887386.9776803,,,,,,,,,,,,,,,,,,
AL,1994-06-01,5572206.145292815,,,,,,,,,,,,,,,,,,
AL,1994-07-01,6176362.045552308,,,,,,,,,,,,,,,,,,
AL,1994-08-01,6101403.223819025,,,,,,,,,,,,,,,,,,
AL,1994-09-01,5270430.615149751,,,,,,,,,,,,,,,,,,
AL,1994-10-01,4801333.675880198,,,,,,,,,,,,,,,,,,
AL,1994-11-01,4552551.720644273,,,,,,,,,,,,,,,,,,
AL,1994-12-01,4825161.671810047,,,,,,,,,,,,,,,,,,
AL,1995-01-01,5437283.469838451,,,,,,,,,,,,,,,,,,
AL,1995-02-01,4718501.572584976,,,,,,,,,,,,,,,,,,
AL,1995-03-01,4823145.841858608,,,,,,,,,,,,,,,,,,
AL,1995-04-01,4430299.294348545,,,,,,,,,,,,,,,,,,
AL,1995-05-01,5347153.906051969,,,,,,,,,,,,,,,,,,
AL,1995-06-01,6096395.474964224,,,,,,,,,,,,,,,,,,
AL,1995-07-01,6757385.6107341135,,,,,,,,,,,,,,,,,,
AL,1995-08-01,6675375.252590872,,,,,,,,,,,,,,,,,,
AL,1995-09-01,5766231.276359827,,,,,,,,,,,,,,,,,,
AL,1995-10-01,5253005.386413469,,,,,,,,,,,,,,,,,,
AL,1995-11-01,4980819.98145779,,,,,,,,,,,,,,,,,,
AL,1995-12-01,5279074.932797159,,,,,,,,,,,,,,,,,,
AL,1996-01-01,5873820.194090921,,,,,,,,,,,,,,,,,,
AL,1996-02-01,5097330.307798515,,,,,,,,,,,,,,,,,,
AL,1996-03-01,5210376.027313596,,,,,,,,,,,,,,,,,,
AL,1996-04-01,4785989.475326072,,,,,,,,,,,,,,,,,,
AL,1996-05-01,5776454.504994457,,,,,,,,,,,,,,,,,,
AL,1996-06-01,6585849.542450528,,,,,,,,,,,,,,,,,,
AL,1996-07-01,7299907.808700059,,,,,,,,,,,,,,,,,,
AL,1996-08-01,7211313.18227336,,,,,,,,,,,,,,,,,,
AL,1996-09-01,6229177.842715518,,,,,,,,,,,,,,,,,,
AL,1996-10-01,5674747.194907712,,,,,,,,,,,,,,,,,,
AL,1996-11-01,5380709.16341016,,,,,,,,,,,,,,,,,,
AL,1996-12-01,5702909.756019108,,,,,,,,,,,,,,,,10.49,,
AL,1997-01-01,6519729.351,,,,,,,,,,,,,,,,,,
AL,1997-02-01,5453766.419,,,,,,,,,,,,,,,,,,
AL,1997-03-01,5161639.112,,,,,,,,,,,,,,,,,,
AL,1997-04-01,5475476.441000001,,,,,,,,,,,,,,,,,,
AL,1997-05-01,6544787.461,,,,,,,,,,,,,,,,,,
AL,1997-06-01,6319350.128,,,,,,,,,,,,,,,,,,
AL,1997-07-01,7822928.842,,,,,,,,,,,,,,,,,,
AL,1997-08-01,7627241.518,,,,,,,,,,,,,,,,,,
AL,1997-09-01,7321396.996,,,,,,,,,,,,,,,,,,
AL,1997-10-01,7473668.341999999,,,,,,,,,,,,,,,,,,
AL,1997-11-01,6521539.885,,,,,,,,,,,,,,,,,,
AL,1997-12-01,6918130.149,,,,,,,,,,,,,,,,,,
AL,1998-01-01,6119277.507,,,,,,,,,,,,,,,,,,
AL,1998-02-01,5491220.584,,,,,,,,,,,,,,,,,,
AL,1998-03-01,5835755.741,,,,,,,,,,,,,,,,,,
AL,1998-04-01,5440648.282000001,,,,,,,,,,,,,,,,,,
AL,1998-05-01,6606049.714,,,,,,,,,,,,,,,,,,
AL,1998-06-01,7481061.493,,,,,,,,,,,,,,,,,,
AL,1998-07-01,8269825.439,,,,,,,,,,,,,,,,,,
AL,1998-08-01,7822262.627,,,,,,,,,,,,,,,,,,
AL,1998-09-01,7287188.859,,,,,,,,,,,,,,,,,,
AL,1998-10-01,6852677.642,,,,,,,,,,,,,,,,,,
AL,1998-11-01,6293454.065,,,,,,,,,,,,,,,,,,
AL,1998-12-01,7057797.698,,,,,,,,,,,,,,,,21.08,,
AL,1999-01-01,6297413.521,,,,,,,,,,,,,,,,,,
AL,1999-02-01,5429358.558,,,,,,,,,,,,,,,,,,
AL,1999-03-01,5862954.861,,,,,,,,,,,,,,,,,,
AL,1999-04-01,5851350.625,,,,,,,,,,,,,,,,,,
AL,1999-05-01,6666706.707,,,,,,,,,,,,,,,,,,
AL,1999-06-01,8090670.064999999,,,,,,,,,,,,,,,,,,
AL,1999-07-01,8740096.529,,,,,,,,,,,,,,,,,,
AL,1999-08-01,8559161.911,,,,,,,,,,,,,,,,,,
AL,1999-09-01,7665871.075,,,,,,,,,,,,,,,,,,
AL,1999-10-01,6958965.252,,,,,,,,,,,,,,,,,,
AL,1999-11-01,6750902.985,,,,,,,,,,,,,,,,,,
AL,1999-12-01,7104891.218,,,,,,,,,,,,,,,,,,
AL,2000-01-01,7390398.169,,,,,,,,,,,,,,,,,,
AL,2000-02-01,6265437.242,,,,,,,,,,,,,,,,,,
AL,2000-03-01,6824559.869,,,,,,,,,,,,,,,,,,
AL,2000-04-01,5774751.933,,,,,,,,,,,,,,,,,,
AL,2000-05-01,6758613.722,,,,,,,,,,,,,,,,,,
AL,2000-06-01,7713385.627,,,,,,,,,,,,,,,,,,
AL,2000-07-01,8478287.226,,,,,,,,,,,,,,,,,,
AL,2000-08-01,8745444.641,,,,,,,,,,,,,,,,,,
AL,2000-09-01,8104876.038,,,,,,,,,,,,,,,,,,
AL,2000-10-01,7650554.055,,,,,,,,,,,,,,,,,,
AL,2000-11-01,7112637.247,,,,,,,,,,,,,,,,,,
AL,2000-12-01,7987418.3,,,,,,,,,,,,,,,,,,
AL,2001-01-01,7593486.188,,,,,,,,,,,,,,,,,,
AL,2001-02-01,6210206.727,,,,,,,,,,,,,,,,,,
AL,2001-03-01,6238755.694999999,,,,,,,,,,,,,,,,,,
AL,2001-04-01,5427792.596,,,,,,,,,,,,,,,,,,
AL,2001-05-01,6860095.397,,,,,,,,,,,,,,,,,,
AL,2001-06-01,7441359.592,,,,,,,,,,,,,,,,,,
AL,2001-07-01,8394359.072,,,,,,,,,,,,,,,,,,
AL,2001-08-01,8571374.394,,,,,,,,,,,,,,,,,,
AL,2001-09-01,7326980.622,,,,,,,,,,,,,,,,,,
AL,2001-10-01,7021054.053,,,,,,,,,,,,,,,,,,
AL,2001-11-01,6392390.698,,,,,,,,,,,,,,,,,,
AL,2001-12-01,6306282.882,,,,,,,,,,,,,,,,,,
AL,2002-01-01,6781458.858999999,,,,,,,,,,,,,,,,,,
AL,2002-02-01,5756593.669,,,,,,,,,,,,,,,,,,
AL,2002-03-01,5607926.315,,,,,,,,,,,,,,,,,,
AL,2002-04-01,5915372.608999999,,,,,,,,,,,,,,,,,,
AL,2002-05-01,6711504.711999999,,,,,,,,,,,,,,,,,,
AL,2002-06-01,8149562.813,,,,,,,,,,,,,,,,,,
AL,2002-07-01,9088176.439,,,,,,,,,,,,,,,,,,
AL,2002-08-01,8913495.042,,,,,,,,,,,,,,,,,,
AL,2002-09-01,8137151.77,,,,,,,,,,,,,,,,,,
AL,2002-10-01,7733886.410999999,,,,,,,,,,,,,,,,,,
AL,2002-11-01,7234466.284,,,,,,,,,,,,,,,,,,
AL,2002-12-01,7204524.332,,,,,,,,,,,,,,,,14.64,,
AL,2003-01-01,7818992.242000001,,,,,,,,,,,,,,,,,,
AL,2003-02-01,6664515.716,,,,,,,,,,,,,,,,,,
AL,2003-03-01,6295557.954,,,,,,,,,,,,,,,,,,
AL,2003-04-01,5908440.544,,,,,,,,,,,,,,,,,,
AL,2003-05-01,7268748.136,,,,,,,,,,,,,,,,,,
AL,2003-06-01,8180062.045,,,,,,,,,,,,,,,,,,
AL,2003-07-01,8826467.138,,,,,,,,,,,,,,,,,,
AL,2003-08-01,9262383.304,,,,,,,,,,,,,,,,,,
AL,2003-09-01,8152403.374,,,,,,,,,,,,,,,,,,
AL,2003-10-01,7308311.577,,,,,,,,,,,,,,,,,,
AL,2003-11-01,7036405.007999999,,,,,,,,,,,,,,,,,,
AL,2003-12-01,7306221.882999999,,,,,,,,,,,,,,,,,,
AL,2004-01-01,7168877.549,,,,,,,,,,,,,,,,,,
AL,2004-02-01,6171695.592,,,,,,,,,,,,,,,,,,
AL,2004-03-01,6386030.462,,,,,,,,,,,,,,,,,,
AL,2004-04-01,5813929.867,,,,,,,,,,,,,,,,,,
AL,2004-05-01,7716284.41,,,,,,,,,,,,,,,,,,
AL,2004-06-01,8191460.107,,,,,,,,,,,,,,,,,,
AL,2004-07-01,9070717.612,,,,,,,,,,,,,,,,,,
AL,2004-08-01,8566500.769,,,,,,,,,,,,,,,,,,
AL,2004-09-01,7105026.83,,,,,,,,,,,,,,,,,,
AL,2004-10-01,7452770.574,,,,,,,,,,,,,,,,,,
AL,2004-11-01,6774335.521,,,,,,,,,,,,,,,,,,
AL,2004-12-01,7248786.694,,,,,,,,,,,,,,,,22.52,,
AL,2005-01-01,7828972.171,,,,,,,,,,,,,,,,,,
AL,2005-02-01,6443405.776000001,,,,,,,,,,,,,,,,,,
AL,2005-03-01,7296086.598999999,,,,,,,,,,,,,,,,,,
AL,2005-04-01,6049318.953,,,,,,,,,,,,,,,,,,
AL,2005-05-01,6848692.033,,,,,,,,,,,,,,,,,,
AL,2005-06-01,8058871.104,,,,,,,,,,,,,,,,,,
AL,2005-07-01,8634364.494,,,,,,,,,,,,,,,,,,
AL,2005-08-01,9225482.007,,,,,,,,,,,,,,,,,,
AL,2005-09-01,8368174.722,,,,,,,,,,,,,,,,,,
AL,2005-10-01,7514450.177,,,,,,,,,,,,,,,,,,
AL,2005-11-01,7221663.268,,,,,,,,,,,,,,,,,,
AL,2005-12-01,7982483.269,,,,,,,,,,,,,,,,,,
AL,2006-01-01,6765781.189,,,,,,,,,,,,,,,,,,
AL,2006-02-01,6502956.447,,,,,,,,,,,,,,,,,,
AL,2006-03-01,6876452.302,,,,,,,,,,,,,,,,,,
AL,2006-04-01,6674265.072,,,,,,,,,,,,,,,,,,
AL,2006-05-01,7724754.271000001,,,,,,,,,,,,,,,,,,
AL,2006-06-01,8606850.388,,,,,,,,,,,,,,,,,,
AL,2006-07-01,9113784.501,,,,,,,,,,,,,,,,,,
AL,2006-08-01,9505773.971,,,,,,,,,,,,,,,,,,
AL,2006-09-01,7776038.345,,,,,,,,,,,,,,,,,,
AL,2006-10-01,7504958.277,,,,,,,,,,,,,,,,,,
AL,2006-11-01,7345232.926,,,,,,,,,,,,,,,,,,
AL,2006-12-01,8016768.862,,,,,,,,,,,,,,,,,,
AL,2007-01-01,7078367.8610000005,,,,,,,,,,,,,,,,,,
AL,2007-02-01,7349789.498,,,,,,,,,,,,,,,,,,
AL,2007-03-01,7406522.963,,,,,,,,,,,,,,,,,,
AL,2007-04-01,7493187.226000001,,,,,,,,,,,,,,,,,,
AL,2007-05-01,8221754.183,,,,,,,,,,,,,,,,,,
AL,2007-06-01,8742463.974,,,,,,,,,,,,,,,,,,
AL,2007-07-01,9099781.571,,,,,,,,,,,,,,,,,,
AL,2007-08-01,9658032.277,,,,,,,,,,,,,,,,,,
AL,2007-09-01,8284775.634,,,,,,,,,,,,,,,,,,
AL,2007-10-01,7408600.083,,,,,,,,,,,,,,,,,,
AL,2007-11-01,6611471.551,,,,,,,,,,,,,,,,,,
AL,2007-12-01,7448840.585,,,,,,,,,,,,,,,,,,
AL,2008-01-01,7785355.525,,,,,,,,,,,,,,,,,,
AL,2008-02-01,6717322.766,,,,,,,,,,,,,,,,,,
AL,2008-03-01,7140233.705,,,,,,,,,,,,,,,,,,
AL,2008-04-01,6824353.512,,,,,,,,,,,,,,,,,,
AL,2008-05-01,7442295.774999999,,,,,,,,,,,,,,,,,,
AL,2008-06-01,8540067.601,,,,,,,,,,,,,,,,,,
AL,2008-07-01,9097500.596,,,,,,,,,,,,,,,,,,
AL,2008-08-01,8327620.561,,,,,,,,,,,,,,,,,,
AL,2008-09-01,7486116.879,,,,,,,,,,,,,,,,,,
AL,2008-10-01,6684202.686,,,,,,,,,,,,,,,,,,
AL,2008-11-01,6728543.537,,,,,,,,,,,,,,,,,,
AL,2008-12-01,6653195.103999999,,,,,,,,,,,,,,,,21.12,,
AL,2009-01-01,7003955.835,,,,,,,,,,,,,,,,,,
AL,2009-02-01,6209051.738,,,,,,,,,,,,,,,,,,
AL,2009-03-01,5630505.426,,,,,,,,,,,,,,,,,,
AL,2009-04-01,4955274.139,,,,,,,,,,,,,,,,,,
AL,2009-05-01,5906168.206,,,,,,,,,,,,,,,,,,
AL,2009-06-01,6667470.85,,,,,,,,,,,,,,,,,,
AL,2009-07-01,6970340.122,,,,,,,,,,,,,,,,,,
AL,2009-08-01,7434985.902,,,,,,,,,,,,,,,,,,
AL,2009-09-01,6495568.455,,,,,,,,,,,,,,,,,,
AL,2009-10-01,5634004.3,,,,,,,,,,,,,,,,,,
AL,2009-11-01,5319192.262,,,,,,,,,,,,,,,,,,
AL,2009-12-01,5807261.004,,,,,,,,,,,,,,,,,,
AL,2010-01-01,7254934.728,,,,,,,,,,,,,,,,,,
AL,2010-02-01,6439573.225,,,,,,,,,,,,,,,,,,
AL,2010-03-01,6411017.779,,,,,,,,,,,,,,,,,,
AL,2010-04-01,5843514.419,,,,,,,,,,,,,,,,,,
AL,2010-05-01,7589012.001,,,,,,,,,,,,,,,,,,
AL,2010-06-01,8404269.617,,,,,,,,,,,,,,,,,,
AL,2010-07-01,8803007.621,,,,,,,,,,,,,,,,,,
AL,2010-08-01,8288925.904999999,,,,,,,,,,,,,,,,,,
AL,2010-09-01,7120857.8,,,,,,,,,,,,,,,,,,
AL,2010-10-01,5995722.605,,,,,,,,,,,,,,,,,,
AL,2010-11-01,5873101.451,,,,,,,,,,,,,,,,,,
AL,2010-12-01,7147269.782,,,,,,,,,,,,,,,,21.73,,
AL,2011-01-01,7727515.742,,,,,,,,,,,,,,,,,,
AL,2011-02-01,6418902.184,,,,,,,,,,,,,,,,,,
AL,2011-03-01,6440696.858999999,,,,,,,,,,,,,,,,,,
AL,2011-04-01,5271426.509000001,,,,,,,,,,,,,,,,,,
AL,2011-05-01,7084053.964,,,,,,,,,,,,,,,,,,
AL,2011-06-01,8592682.348,,,,,,,,,,,,,,,,,,
AL,2011-07-01,9259355.846,,,,,,,,,,,,,,,,,,
AL,2011-08-01,9137519.813,,,,,,,,,,,,,,,,,,
AL,2011-09-01,6401589.062,,,,,,,,,,,,,,,,,,
AL,2011-10-01,6238039.308999999,,,,,,,,,,,,,,,,,,
AL,2011-11-01,5946977.8780000005,,,,,,,,,,,,,,,,,,
AL,2011-12-01,5896700.903,,,,,,,,,,,,,,,,,,
AL,2012-01-01,5536228.913000001,,,,,,,,,,,,,,,,,,
AL,2012-02-01,4764995.1790000005,,,,,,,,,,,,,,,,,,
AL,2012-03-01,4923039.03,,,,,,,,,,,,,,,,,,
AL,2012-04-01,5220031.149,,,,,,,,,,,,,,,,,,
AL,2012-05-01,6253502.9690000005,,,,,,,,,,,,,,,,,,
AL,2012-06-01,7405922.274,,,,,,,,,,,,,,,,,,
AL,2012-07-01,8866398.609,,,,,,,,,,,,,,,,,,
AL,2012-08-01,8194157.993,,,,,,,,,,,,,,,,,,
AL,2012-09-01,6586484.314,,,,,,,,,,,,,,,,,,
AL,2012-10-01,5736819.61,,,,,,,,,,,,,,,,,,
AL,2012-11-01,6149281.242,,,,,,,,,,,,,,,,,,
AL,2012-12-01,6247130.055,,,,,,,,,,,,,,,,,,
AL,2013-01-01,5713028.505,,,,,,,,,,,,,,,,,,
AL,2013-02-01,5479073.586,,,,,,,,,,,,,,,,,,
AL,2013-03-01,5930992.653,,,,,,,,,,,,,,,,,,
AL,2013-04-01,5577084.404999999,,,,,,,,,,,,,,,,,,
AL,2013-05-01,5904413.124,,,,,,,,,,,,,,,,,,
AL,2013-06-01,6726725.61,,,,,,,,,,,,,,,,,,
AL,2013-07-01,6786001.96,,,,,,,,,,,,,,,,,,
AL,2013-08-01,7427615.549000001,,,,,,,,,,,,,,,,,,
AL,2013-09-01,6642431.395,,,,,,,,,,,,,,,,,,
AL,2013-10-01,6267898.295,,,,,,,,,,,,,,,,,,
AL,2013-11-01,5779443.077,,,,,,,,,,,,,,,,,,
AL,2013-12-01,5927471.712,,,,,,,,,,,,,,,,,,
AL,2014-01-01,6933679.686,,,,,,,,,,,,,,,,,,
AL,2014-02-01,5856417.271,,,,,,,,,,,,,,,,,,
AL,2014-03-01,5620680.660999999,,,,,,,,,,,,,,,,,,
AL,2014-04-01,4857422.791,,,,,,,,,,,,,,,,,,
AL,2014-05-01,6438702.603,,,,,,,,,,,,,,,,,,
AL,2014-06-01,7123956.321,,,,,,,,,,,,,,,,,,
AL,2014-07-01,7643910.826,,,,,,,,,,,,,,,,,,
AL,2014-08-01,7742951.607,,,,,,,,,,,,,,,,,,
AL,2014-09-01,6429798.378,,,,,,,,,,,,,,,,,,
AL,2014-10-01,5388896.407,,,,,,,,,,,,,,,,,,
AL,2014-11-01,5410254.675,,,,,,,,,,,,,,,,,,
AL,2014-12-01,5708401.612,,,,,,,,,,,,,,,,48.63,,
AL,2015-01-01,5930309.056,,,,,,,,,,,,,,,,,,
AL,2015-02-01,5806813.086,,,,,,,,,,,,,,,,,,
AL,2015-03-01,5039597.088,,,,,,,,,,,,,,,,,,
AL,2015-04-01,4537904.571,,,,,,,,,,,,,,,,,,
AL,2015-05-01,6291059.667,,,,,,,,,,,,,,,,,,
AL,2015-06-01,7418880.477,,,,,,,,,,,,,,,,,,
AL,2015-07-01,8048286.837,,,,,,,,,,,,,,,,,,
AL,2015-08-01,7500375.153,,,,,,,,,,,,,,,,,,
AL,2015-09-01,6762482.694,,,,,,,,,,,,,,,,,,
AL,2015-10-01,5551253.879,,,,,,,,,,,,,,,,,,
AL,2015-11-01,4996810.257,,,,,,,,,,,,,,,,,,
AL,2015-12-01,5060597.389,,,,,,,,,,,,,,,,,,
AL,2016-01-01,5028021.021,,,,,,,,,,,,,,,,,,
AL,2016-02-01,4513099.593,,,,,,,,,,,,,,,,,,
AL,2016-03-01,4692930.558,,,,,,,,,,,,,,,,,,
AL,2016-04-01,3876384.954,,,,,,,,,,,,,,,,,,
AL,2016-05-01,4847922.473999999,,,,,,,,,,,,,,,,,,
AL,2016-06-01,5953594.26,,,,,,,,,,,,,,,,,,
AL,2016-07-01,7173735.736,,,,,,,,,,,,,,,,,,
AL,2016-08-01,7066029.706,,,,,,,,,,,,,,,,,,
AL,2016-09-01,6491325.355,,,,,,,,,,,,,,,,,,
AL,2016-10-01,5575244.833,,,,,,,,,,,,,,,,,,
AL,2016-11-01,5024612.0540000005,,,,,,,,,,,,,,,,,,
AL,2016-12-01,5260627.131,,,,,,,,,,,,,,,,21.32,,
AL,2017-01-01,4561836.9860000005,,,,,,,,,,,,,,,,,,
AL,2017-02-01,4425687.771,,,,,,,,,,,,,,,,,,
AL,2017-03-01,4963766.203000001,,,,,,,,,,,,,,,,,,
AL,2017-04-01,4591517.666,,,,,,,,,,,,,,,,,,
AL,2017-05-01,5069670.726,,,,,,,,,,,,,,,,,,
AL,2017-06-01,5424402.204,,,,,,,,,,,,,,,,,,
AL,2017-07-01,6977361.335,,,,,,,,,,,,,,,,,,
AL,2017-08-01,6242861.738,,,,,,,,,,,,,,,,,,
AL,2017-09-01,4606486.1,,,,,,,,,,,,,,,,,,
AL,2017-10-01,4708842.227,,,,,,,,,,,,,,,,,,
AL,2017-11-01,4228819.195,,,,,,,,,,,,,,,,,,
AL,2017-12-01,5082328.873,,,,,,,,,,,,,,,,,,
AL,2018-01-01,6475094.981,,,,,,,,,,,,,,,,,,
AL,2018-02-01,4218371.7190000005,,,,,,,,,,,,,,,,,,
AL,2018-03-01,4522072.882,,,,,,,,,,,,,,,,,,
AL,2018-04-01,4503895.645,,,,,,,,,,,,,,,,,,
AL,2018-05-01,5211844.665,,,,,,,,,,,,,,,,,,
AL,2018-06-01,6085882.923,,,,,,,,,,,,,,,,,,
AL,2018-07-01,6695740.041,,,,,,,,,,,,,,,,,,
AL,2018-08-01,6269787.735,,,,,,,,,,,,,,,,,,
AL,2018-09-01,5559824.075,,,,,,,,,,,,,,,,,,
AL,2018-10-01,4557578.0,,,,,,,,,,,,,,,,,,
AL,2018-11-01,3911509.155,,,,,,,,,,,,,,,,,,
AL,2018-12-01,4159329.356,,,,,,,,,,,,,,,,,,
AL,2019-01-01,5107773.453,,,,,,,,,,,,,,,,,,
AL,2019-02-01,4187464.525,,,,,,,,,,,,,,,,,,
AL,2019-03-01,4244622.979,,,,,,,,,,,,,,,,,,
AL,2019-04-01,3491049.055,,,,,,,,,,,,,,,,,,
AL,2019-05-01,4491864.412,,,,,,,,,,,,,,,,,,
AL,2019-06-01,4962445.298,,,,,,,,,,,,,,,,,,
AL,2019-07-01,5558444.909,,,,,,,,,,,,,,,,,,
AL,2019-08-01,5738466.351,,,,,,,,,,,,,,,,,,
AL,2019-09-01,5431474.507,,,,,,,,,,,,,,,,,,
AL,2019-10-01,4748005.266,,,,,,,,,,,,,,,,,,
AL,2019-11-01,4377661.1620000005,,,,,,,,,,,,,,,,,,
AL,2019-12-01,3956482.963,,,,,,,,,,,,,,,,,,
AL,2020-01-01,4187975.178,,,,,,,,,,,,,,,,,,
AL,2020-02-01,3345148.443,,,,,,,,,,,,,,,,,,
AL,2020-03-01,3572674.595,,,,,,,,,,,,,,,,,,
AL,2020-04-01,2409853.445,,,,,,,,,,,,,,,,,,
AL,2020-05-01,3212924.497,,,,,,,,,,,,,,,,,,
AL,2020-06-01,4874218.281,,,,,,,,,,,,,,,,,,
AL,2020-07-01,5750104.08,,,,,,,,,,,,,,,,,,
AL,2020-08-01,5470415.698,,,,,,,,,,,,,,,,,,
AL,2020-09-01,4844756.793,,,,,,,,,,,,,,,,,,
AL,2020-10-01,4103131.411,,,,,,,,,,,,,,,,,,
AL,2020-11-01,3598664.926,,,,,,,,,,,,,,,,,,
AL,2020-12-01,4207355.762,,,,,,,,,,,,,,,,20.03,,
AL,2021-01-01,4472856.972,,,,,,,,,,,,,,,,,,
AL,2021-02-01,4450571.127,,,,,,,,,,,,,,,,,,
AL,2021-03-01,4219392.829,,,,,,,,,,,,,,,,,,
AL,2021-04-01,3290861.862,,,,,,,,,,,,,,,,,,
AL,2021-05-01,3909034.089,,,,,,,,,,,,,,,,,,
AL,2021-06-01,4508979.491,,,,,,,,,,,,,,,,,,
AL,2021-07-01,5707891.832,,,,,,,,,,,,,,,,,,
AL,2021-08-01,5848749.443,,,,,,,,,,,,,,,,,,
AL,2021-09-01,4638229.232,,,,,,,,,,,,,,,,,,
AL,2021-10-01,4118573.517,,,,,,,,,,,,,,,,,,
AL,2021-11-01,4661293.598,,,,,,,,,,,,,,,,,,
AL,2021-12-01,4381195.341,,,,,,,,,,,,,,,,,,
AL,2022-01-01,4953546.982,,,,,,,,,,,,,,,,,,
AL,2022-02-01,4263569.125,,,,,,,,,,,,,,,,,,
AL,2022-03-01,3947311.797,,,,,,,,,,,,,,,,,,
AL,2022-04-01,3652702.46,,,,,,,,,,,,,,,,,,
AL,2022-05-01,4971257.586,,,,,,,,,,,,,,,,,,
AL,2022-06-01,5534678.724,,,,,,,,,,,,,,,,,,
AL,2022-07-01,6075815.122,,,,,,,,,,,,,,,,,,
AL,2022-08-01,5564413.31,,,,,,,,,,,,,,,,,,
AL,2022-09-01,4953317.831,,,,,,,,,,,,,,,,,,
