state,date,monthly_emissions
AL,2023-12,3740044.585
AL,2024-01,4572058.856
AL,2024-02,3303017.913
AL,2024-03,3427211.4159999997
AL,2024-04,3826385.171
AL,2024-05,4237008.979
AL,2024-06,5038696.005
AL,2024-07,5457622.999
AL,2024-08,5299416.802
AL,2024-09,4394505.5030000005
AL,2024-10,4041930.347
AL,2024-11,3776156.21
AL,2024-12,4309397.244
AR,1990-01,1924445.995020587
AR,1990-02,1573723.24053305
AR,1990-03,1425006.453128241
AR,1990-04,1303140.520651984
AR,1990-05,1624187.4364621222
AR,1990-06,2060779.075154555
AR,1990-07,2332052.6013932237
AR,1990-08,2343440.6073995703
AR,1990-09,1979452.6046348875
AR,1990-10,1634853.510311667
AR,1990-11,1509968.804114642
AR,1990-12,1763217.1511954693
AR,1991-01,1924409.7900061957
AR,1991-02,1573693.633740903
AR,1991-03,1424979.6441768457
AR,1991-04,1303116.004390459
AR,1991-05,1624156.880276257
AR,1991-06,2060740.305276748
AR,1991-07,2332008.7279885067
AR,1991-08,2343396.519749859
AR,1991-09,1979415.3647693763
AR,1991-10,1634822.7534626718
AR,1991-11,1509940.3967483528
AR,1991-12,1763183.9794138244
AR,1992-01,1958434.70690988
AR,1992-02,1601517.642638571
AR,1992-03,1450174.2852737417
AR,1992-04,1326156.010731886
AR,1992-05,1652873.1148209632
AR,1992-06,2097175.641456829
AR,1992-07,2373240.280436709
AR,1992-08,2384829.416355844
AR,1992-09,2014412.8188739603
AR,1992-10,1663727.5681376385
AR,1992-11,1536637.2036320434
AR,1992-12,1794358.310731932
AR,1993-01,1747171.9059399252
AR,1993-02,1428756.6607212953
AR,1993-03,1293739.2096898658
AR,1993-04,1183099.1948156576
AR,1993-05,1474572.249005538
AR,1993-06,1870946.399002682
AR,1993-07,2117231.036293524
AR,1993-08,2127570.013957977
AR,1993-09,1797111.4746302292
AR,1993-10,1484255.7966991726
AR,1993-11,1370875.0883220218
AR,1993-12,1600794.970922111
AR,1994-01,1944618.819648236
AR,1994-02,1590219.6467849636
AR,1994-03,1439943.9496059823
AR,1994-04,1316800.5689237015
AR,1994-05,1641212.8289142654
AR,1994-06,2082380.9985065148
AR,1994-07,2356498.124038224
AR,1994-08,2368005.503749325
AR,1994-09,2000202.0308881372
AR,1994-10,1651990.7088824487
AR,1994-11,1525796.9104670358
AR,1994-12,1781699.9095911642
AR,1995-01,2118086.2740845643
AR,1995-02,1732073.3362254086
AR,1995-03,1568392.470696777
AR,1995-04,1434264.228322423
AR,1995-05,1787615.3057099506
AR,1995-06,2268137.367481103
AR,1995-07,2566706.7915830747
AR,1995-08,2579240.6736840256
AR,1995-09,2178627.7208746737
AR,1995-10,1799354.6138939934
AR,1995-11,1661903.8448293237
AR,1995-12,1940634.3726146808
AR,1996-01,2316441.628958437
AR,1996-02,1894279.203605883
AR,1996-03,1715269.8896730305
AR,1996-04,1568580.7542697685
AR,1996-05,1955022.5887278789
AR,1996-06,2480544.764636751
AR,1996-07,2807074.732554545
AR,1996-08,2820782.3924484504
AR,1996-09,2382652.684352105
AR,1996-10,1967861.2641422893
AR,1996-11,1817538.452796295
AR,1996-12,2122371.643834565
AR,1997-01,2615923.8249999997
AR,1997-02,2038050.875
AR,1997-03,2073058.35
AR,1997-04,2169817.175
AR,1997-05,2566197.2750000004
AR,1997-06,2831771.575
AR,1997-07,3344034.25
AR,1997-08,2847602.15
AR,1997-09,2222678.6
AR,1997-10,1582755.05
AR,1997-11,1827791.3
AR,1997-12,2154481.75
AR,1998-01,2487669.375
AR,1998-02,1742089.2750000001
AR,1998-03,1745102.0
AR,1998-04,1733732.15
AR,1998-05,1915643.725
AR,1998-06,2903610.6
AR,1998-07,3200004.35
AR,1998-08,3145367.075
AR,1998-09,3135897.675
AR,1998-10,2656918.5
AR,1998-11,2128906.4749999996
AR,1998-12,2695361.8499999996
AR,1999-01,2772114.125
AR,1999-02,2138259.95
AR,1999-03,2320658.2750000004
AR,1999-04,2000062.0750000002
AR,1999-05,2622244.05
AR,1999-06,3130697.15
AR,1999-07,3157096.75
AR,1999-08,2930888.325
AR,1999-09,2807937.775
AR,1999-10,2607003.475
AR,1999-11,2699918.75
AR,1999-12,2575870.325
AR,2000-01,2822940.875
AR,2000-02,2235181.4
AR,2000-03,1346432.585
AR,2000-04,1964044.4000000001
AR,2000-05,2479236.6059999997
AR,2000-06,3246652.0949999997
AR,2000-07,3335335.571
AR,2000-08,3626976.603
AR,2000-09,3069746.228
AR,2000-10,2798446.8370000003
AR,2000-11,2188154.109
AR,2000-12,2773647.894
AR,2001-01,2661244.422
AR,2001-02,1889257.938
AR,2001-03,1731308.48
AR,2001-04,1989917.114
AR,2001-05,2379977.571
AR,2001-06,2905781.203
AR,2001-07,3194536.707
AR,2001-08,3111730.206
AR,2001-09,2892864.001
AR,2001-10,2686111.852
AR,2001-11,2374482.575
AR,2001-12,2971535.98
AR,2002-01,2808707.677
AR,2002-02,2229025.029
AR,2002-03,1386196.014
AR,2002-04,2638748.3310000002
AR,2002-05,1991097.615
AR,2002-06,2367693.807
AR,2002-07,2721104.302
AR,2002-08,3073636.0100000002
AR,2002-09,2894730.864
AR,2002-10,2619069.3929999997
AR,2002-11,2294539.821
AR,2002-12,2142697.813
AR,2003-01,2143082.8170000003
AR,2003-02,1993105.956
AR,2003-03,1785916.244
AR,2003-04,1741932.435
AR,2003-05,2124446.097
AR,2003-06,2836378.3329999996
AR,2003-07,3339276.977
AR,2003-08,3320049.419
AR,2003-09,3077772.189
AR,2003-10,2645930.469
AR,2003-11,2889859.09
AR,2003-12,2924398.329
AR,2004-01,2985407.569
AR,2004-02,2452838.281
AR,2004-03,2000559.043
AR,2004-04,1798457.879
AR,2004-05,2415512.594
AR,2004-06,3079706.822
AR,2004-07,3218591.654
AR,2004-08,3134043.1029999997
AR,2004-09,2901758.3850000002
AR,2004-10,2242757.248
AR,2004-11,2453557.603
AR,2004-12,2851147.4699999997
AR,2005-01,2778397.122
AR,2005-02,2450542.605
AR,2005-03,1969061.187
AR,2005-04,1789994.644
AR,2005-05,2410786.977
AR,2005-06,2827019.381
AR,2005-07,2831097.114
AR,2005-08,2880637.599
AR,2005-09,2551529.327
AR,2005-10,2453210.0
AR,2005-11,2080062.368
AR,2005-12,2158332.175
AR,2006-01,2153019.028
AR,2006-02,2149133.415
AR,2006-03,2078114.175
AR,2006-04,2150700.08
AR,2006-05,2478547.069
AR,2006-06,3326532.1560000004
AR,2006-07,3596803.915
AR,2006-08,3564297.669
AR,2006-09,2948267.02
AR,2006-10,2607667.574
AR,2006-11,1848900.673
AR,2006-12,2606421.411
AR,2007-01,2984422.855
AR,2007-02,2579343.088
AR,2007-03,2269056.406
AR,2007-04,2117790.92
AR,2007-05,2743318.948
AR,2007-06,2888696.398
AR,2007-07,3268266.7430000002
AR,2007-08,3866144.435
AR,2007-09,3015738.6629999997
AR,2007-10,2035952.014
AR,2007-11,2074118.304
AR,2007-12,2878396.562
AR,2008-01,3108870.105
AR,2008-02,2392037.569
AR,2008-03,2297022.372
AR,2008-04,1931827.9449999998
AR,2008-05,2363983.861
AR,2008-06,2830388.739
AR,2008-07,3498866.2490000003
AR,2008-08,3357999.258
AR,2008-09,2396950.344
AR,2008-10,2508496.663
AR,2008-11,2871757.994
AR,2008-12,2907190.2770000002
AR,2009-01,2782951.704
AR,2009-02,2314227.942
AR,2009-03,2080774.384
AR,2009-04,2060631.657
AR,2009-05,2220404.7739999997
AR,2009-06,3308323.4060000004
AR,2009-07,3550583.341
AR,2009-08,3470629.7070000004
AR,2009-09,3018654.691
AR,2009-10,2286349.045
AR,2009-11,2434022.147
AR,2009-12,2587064.6169999996
AR,2010-01,2956903.3940000003
AR,2010-02,2568371.987
AR,2010-03,2260685.727
AR,2010-04,2546123.678
AR,2010-05,3141798.2580000004
AR,2010-06,3531661.633
AR,2010-07,3567027.069
AR,2010-08,4209821.706
AR,2010-09,3562437.275
AR,2010-10,2243429.631
AR,2010-11,2616510.648
AR,2010-12,3449617.267
AR,2011-01,3663472.5
AR,2011-02,3084404.856
AR,2011-03,2843949.043
AR,2011-04,2054504.476
AR,2011-05,2980555.4080000003
AR,2011-06,3608808.8109999998
AR,2011-07,4115343.213
AR,2011-08,4184424.268
AR,2011-09,3116305.667
AR,2011-10,3032353.705
AR,2011-11,2619390.514
AR,2011-12,3185473.823
AR,2012-01,3677492.483
AR,2012-02,3513284.2060000002
AR,2012-03,3017558.6220000004
AR,2012-04,2502938.756
AR,2012-05,3736915.474
AR,2012-06,3931687.317
AR,2012-07,4029381.767
AR,2012-08,3981997.831
AR,2012-09,3387994.097
AR,2012-10,2533512.498
AR,2012-11,2729942.105
AR,2012-12,3116731.36
AR,2013-01,3547819.0829999996
AR,2013-02,3115391.3049999997
AR,2013-03,3167376.088
AR,2013-04,2791944.194
AR,2013-05,3047891.827
AR,2013-06,3829522.269
AR,2013-07,4210026.884
AR,2013-08,4252611.808
AR,2013-09,3647321.341
AR,2013-10,2780423.2139999997
AR,2013-11,2466639.0190000003
AR,2013-12,3663572.252
AR,2014-01,3750787.403
AR,2014-02,3497629.657
AR,2014-03,3424809.05
AR,2014-04,2872286.161
AR,2014-05,3486503.244
AR,2014-06,3566850.893
AR,2014-07,3550144.505
AR,2014-08,3899060.326
AR,2014-09,3310919.414
AR,2014-10,2942826.007
AR,2014-11,2780324.053
AR,2014-12,2620873.226
AR,2015-01,2283022.656
AR,2015-02,3017936.998
AR,2015-03,2341851.634
AR,2015-04,1914101.895
AR,2015-05,2578622.015
AR,2015-06,3117161.402
AR,2015-07,3608442.533
AR,2015-08,3191687.447
AR,2015-09,2926737.435
AR,2015-10,1957055.11
AR,2015-11,1579057.724
AR,2015-12,1590520.291
AR,2016-01,2611689.01
AR,2016-02,2132284.5870000003
AR,2016-03,2162766.199
AR,2016-04,1905081.543
AR,2016-05,1715661.938
AR,2016-06,3269234.017
AR,2016-07,3855687.165
AR,2016-08,3764325.66
AR,2016-09,3636185.954
AR,2016-10,3031559.818
AR,2016-11,2267042.386
AR,2016-12,3538204.841
AR,2017-01,3629727.5640000002
AR,2017-02,2437250.139
AR,2017-03,1978458.505
AR,2017-04,2414282.707
AR,2017-05,2382040.849
AR,2017-06,3197935.073
AR,2017-07,4035354.131
AR,2017-08,3892795.5760000004
AR,2017-09,3273520.144
AR,2017-10,2468854.64
AR,2017-11,2452643.384
AR,2017-12,3446443.109
AR,2018-01,3765765.2630000003
AR,2018-02,2481622.204
AR,2018-03,2204119.156
AR,2018-04,2664635.182
AR,2018-05,3152290.894
AR,2018-06,4136484.847
AR,2018-07,4416155.717
AR,2018-08,4309076.824
AR,2018-09,3632911.563
AR,2018-10,3446183.8000000003
AR,2018-11,3563940.359
AR,2018-12,3624740.018
AR,2019-01,3634362.564
AR,2019-02,2561120.275
AR,2019-03,2657403.042
AR,2019-04,1555147.9810000001
AR,2019-05,2506273.317
AR,2019-06,3566782.392
AR,2019-07,3865491.5
AR,2019-08,3821696.811
AR,2019-09,3739247.245
AR,2019-10,2549996.632
AR,2019-11,2757435.593
AR,2019-12,2761354.397
AR,2020-01,1788103.751
AR,2020-02,1629787.499
AR,2020-03,2272188.693
AR,2020-04,1351783.152
AR,2020-05,1509766.9000000001
AR,2020-06,2394474.517
AR,2020-07,3661761.556
AR,2020-08,3824578.201
AR,2020-09,2288062.6720000003
AR,2020-10,1641138.902
AR,2020-11,1613750.571
AR,2020-12,2089515.766
AR,2021-01,2959232.761
AR,2021-02,2632211.2709999997
AR,2021-03,2197045.014
AR,2021-04,1689743.188
AR,2021-05,1955353.503
AR,2021-06,3245708.402
AR,2021-07,4029791.366
AR,2021-08,4272367.479
AR,2021-09,3638491.975
AR,2021-10,2934722.989
AR,2021-11,1858659.585
AR,2021-12,1925482.381
AR,2022-01,3555232.7789999996
AR,2022-02,3099740.901
AR,2022-03,2554795.621
AR,2022-04,1518630.933
AR,2022-05,2178339.657
AR,2022-06,2970566.736
AR,2022-07,4285587.318
AR,2022-08,4146277.997
AR,2022-09,3151302.7630000003
AR,2022-10,2412807.978
AR,2022-11,2281540.7060000002
AR,2022-12,2833807.1920000003
AR,2023-01,2975781.697
AR,2023-02,1731492.14
AR,2023-03,1753084.471
AR,2023-04,1333010.616
AR,2023-05,2978568.725
AR,2023-06,3124331.962
AR,2023-07,4008337.872
AR,2023-08,3924027.7520000003
AR,2023-09,2947954.567
AR,2023-10,2520222.355
AR,2023-11,2107798.982
AR,2023-12,2161191.69
AR,2024-01,3396970.8619999997
AR,2024-02,2014191.523
AR,2024-03,1763142.721
AR,2024-04,1205561.835
AR,2024-05,2242214.978
AR,2024-06,3227934.872
AR,2024-07,3450548.139
AR,2024-08,3432865.954
AR,2024-09,2488200.52
AR,2024-10,2540127.906
AR,2024-11,1499406.541
AR,2024-12,2088127.511
AZ,1990-01,2637152.8187576896
AZ,1990-02,2180267.1212316067
AZ,1990-03,2205084.073842534
AZ,1990-04,2253887.300149234
AZ,1990-05,2566310.958824096
AZ,1990-06,2898617.30330002
AZ,1990-07,3400765.5134260133
AZ,1990-08,3449218.180761114
AZ,1990-09,3096515.278368094
AZ,1990-10,2887384.5874628653
AZ,1990-11,2535144.054518431
AZ,1990-12,2709886.8093583016
AZ,1991-01,2659189.440190759
AZ,1991-02,2198485.9065942927
AZ,1991-03,2223510.2350485614
AZ,1991-04,2272721.2717086026
AZ,1991-05,2587755.6102970373
AZ,1991-06,2922838.7787252697
AZ,1991-07,3429183.048302627
AZ,1991-08,3478040.5966442027
AZ,1991-09,3122390.4322331846
AZ,1991-10,2911512.1998761543
AZ,1991-11,2556328.268573208
AZ,1991-12,2732531.211806101
AZ,1992-01,2871694.4721172336
AZ,1992-02,2374174.5246030986
AZ,1992-03,2401198.6337562297
AZ,1992-04,2454342.2946808394
AZ,1992-05,2794552.117635994
AZ,1992-06,3156412.941814754
AZ,1992-07,3703220.934489856
AZ,1992-08,3755982.858621007
AZ,1992-09,3371911.458625736
AZ,1992-10,3144181.216847213
AZ,1992-11,2760613.3082613647
AZ,1992-12,2950897.2385466737
AZ,1993-01,2962979.16339946
AZ,1993-02,2449644.178715965
AZ,1993-03,2477527.3233567406
AZ,1993-04,2532360.3014173526
AZ,1993-05,2883384.627433742
AZ,1993-06,3256748.1911772494
AZ,1993-07,3820937.976827423
AZ,1993-08,3875377.0835427702
AZ,1993-09,3479096.919864833
AZ,1993-10,3244127.647256873
AZ,1993-11,2848366.979844835
AZ,1993-12,3044699.607162756
AZ,1994-01,3078564.056321319
AZ,1994-02,2545204.0340099493
AZ,1994-03,2574174.891425569
AZ,1994-04,2631146.88685627
AZ,1994-05,2995864.56233551
AZ,1994-06,3383792.922237322
AZ,1994-07,3969991.575437939
AZ,1994-08,4026554.334725057
AZ,1994-09,3614815.405473749
AZ,1994-10,3370680.054835339
AZ,1994-11,2959480.8872372177
AZ,1994-12,3163472.3891047565
AZ,1995-01,2618321.4159693206
AZ,1995-02,2164698.2516332604
AZ,1995-03,2189337.991142515
AZ,1995-04,2237792.7229647785
AZ,1995-05,2547985.42417852
AZ,1995-06,2877918.8327451386
AZ,1995-07,3376481.298754568
AZ,1995-08,3424587.974879653
AZ,1995-09,3074403.656306405
AZ,1995-10,2866766.327578686
AZ,1995-11,2517041.0767624187
AZ,1995-12,2690536.027084731
AZ,1996-01,2617961.762957196
AZ,1996-02,2164400.908365244
AZ,1996-03,2189037.263356281
AZ,1996-04,2237485.339429504
AZ,1996-05,2547635.4325285004
AZ,1996-06,2877523.521393929
AZ,1996-07,3376017.504790208
AZ,1996-08,3424117.5729752346
AZ,1996-09,3073981.3557711327
AZ,1996-10,2866372.548137215
AZ,1996-11,2516695.33563248
AZ,1996-12,2690166.4546630755
AZ,1997-01,3162493.2750000004
AZ,1997-02,2657093.4
AZ,1997-03,2630504.1
